Representation,Model,Cleaning Method,Pearson r
ESM-2 (8M),XGBoost,Huber Robust (15%),0.3845807535426903
ESM-2 (8M),SVR,Huber Robust (15%),0.3360420773466144
ESM-2 (8M),MLP,Huber Robust (15%),0.296735699167433
ESM-2 (8M),Random Forest,Huber Robust (15%),0.3726022296484449
ESM-2 (8M),KNN,Huber Robust (15%),0.3025301915055031
ESM-2 (8M),Ridge,Ensemble Variance (15%),0.3672055811952234
ESM-2 (8M),XGBoost,Ensemble Variance (15%),0.328916615063374
ESM-2 (8M),SVR,Ensemble Variance (15%),0.3266656298870648
ESM-2 (8M),MLP,Ensemble Variance (15%),0.2995315344529586
ESM-2 (8M),Random Forest,Ensemble Variance (15%),0.3536825279814364
ESM-2 (8M),KNN,Ensemble Variance (15%),0.264870627449265
Ankh Base,Ridge,Raw Data,0.3778534950959021
Ankh Base,XGBoost,Raw Data,0.3453756448924184
Ankh Base,SVR,Raw Data,0.4044635717072236
Ankh Base,MLP,Raw Data,0.3398911168294529
Ankh Base,Random Forest,Raw Data,0.3870063866680334
Ankh Base,KNN,Raw Data,0.2956881565448426
Ankh Base,Ridge,Activity Cliffs,0.3806790554933548
Ankh Base,XGBoost,Activity Cliffs,0.4162911627862561
Ankh Base,SVR,Activity Cliffs,0.4200037003727063
Ankh Base,MLP,Activity Cliffs,0.380499480396902
Ankh Base,Random Forest,Activity Cliffs,0.4146015736683657
Ankh Base,KNN,Activity Cliffs,0.3423916874065409
Ankh Base,Ridge,Huber Robust (15%),0.4191619919341131
Ankh Base,XGBoost,Huber Robust (15%),0.3995895631786289
Ankh Base,SVR,Huber Robust (15%),0.437469534812427
Ankh Base,MLP,Huber Robust (15%),0.3414230028297301
Ankh Base,Random Forest,Huber Robust (15%),0.4274465781027668
Ankh Base,KNN,Huber Robust (15%),0.3025627027551217
Ankh Base,Ridge,Ensemble Variance (15%),0.360712321762947
Ankh Base,XGBoost,Ensemble Variance (15%),0.3498139584525283
Ankh Base,SVR,Ensemble Variance (15%),0.3848597584502232
Ankh Base,MLP,Ensemble Variance (15%),0.3390493645096372
Ankh Base,Random Forest,Ensemble Variance (15%),0.367546023813014
Ankh Base,KNN,Ensemble Variance (15%),0.2792074567281487
Fused (ProtT5 + ESM2),Ridge,Raw Data,0.4321295183845061
Fused (ProtT5 + ESM2),XGBoost,Raw Data,0.399999902797527
Fused (ProtT5 + ESM2),SVR,Raw Data,0.3562552234354897
Fused (ProtT5 + ESM2),MLP,Raw Data,0.401449641465294
Fused (ProtT5 + ESM2),Random Forest,Raw Data,0.4444523455899995
Fused (ProtT5 + ESM2),KNN,Raw Data,0.3942290523499913
Fused (ProtT5 + ESM2),Ridge,Activity Cliffs,0.4498039953029853
Fused (ProtT5 + ESM2),XGBoost,Activity Cliffs,0.4383113359596435
Fused (ProtT5 + ESM2),SVR,Activity Cliffs,0.3680947070986699
Fused (ProtT5 + ESM2),MLP,Activity Cliffs,0.410144941070538
Fused (ProtT5 + ESM2),Random Forest,Activity Cliffs,0.4509821496445624
Fused (ProtT5 + ESM2),KNN,Activity Cliffs,0.4273127283955184
Fused (ProtT5 + ESM2),Ridge,Huber Robust (15%),0.5427902181585043
Fused (ProtT5 + ESM2),XGBoost,Huber Robust (15%),0.4758370668760094
Fused (ProtT5 + ESM2),SVR,Huber Robust (15%),0.3897943067969819
Fused (ProtT5 + ESM2),MLP,Huber Robust (15%),0.4202007358406699
Fused (ProtT5 + ESM2),Random Forest,Huber Robust (15%),0.4730442405530446
Fused (ProtT5 + ESM2),KNN,Huber Robust (15%),0.4471461866060681
Fused (ProtT5 + ESM2),Ridge,Ensemble Variance (15%),0.4054684274047695
Fused (ProtT5 + ESM2),XGBoost,Ensemble Variance (15%),0.4134752375677563
Fused (ProtT5 + ESM2),SVR,Ensemble Variance (15%),0.349619091982392
Fused (ProtT5 + ESM2),MLP,Ensemble Variance (15%),0.3657267055120219
Fused (ProtT5 + ESM2),Random Forest,Ensemble Variance (15%),0.419885588273954
Fused (ProtT5 + ESM2),KNN,Ensemble Variance (15%),0.3366460450113743
ProtT5-XL,Ridge,Residual OOF (15%),0.6589467486851538
ProtT5-XL,XGBoost,Residual OOF (15%),0.5923082693402202
ProtT5-XL,SVR,Residual OOF (15%),0.6191943313766373
ProtT5-XL,MLP,Residual OOF (15%),0.5520443289571033
